run_layer,seed,layer_idx,n_token_layer,mean_G_TTR,mean_G_PURPLE_LAYER,mean_G_FULL_MODEL_PURPLE,corr_G_TTR_G_PURPLE_LAYER,corr_G_TTR_G_FULL_MODEL_PURPLE,corr_G_TTR_projection_gain,projection_energy_over_delta_energy,projection_gain_over_full_layer_gain,mean_projection_gain,mean_full_layer_gain,source_file
11,0,11,24320,0.4101769030094147,0.622284471988678,0.622284471988678,0.1575683176231029,0.1575679427483576,0.1732010732400302,0.0131415474685065,0.0228936155553264,0.0142463417723774,0.622284471988678,wt2_gpt2_purple_b4_layer11_seed0_layers.csv
11,1,11,24320,0.4101769030094147,0.6254134178161621,0.6254135370254517,0.1599819972858515,0.1599819565573478,0.1877175015921961,0.0126705563971926,0.0269115295501228,0.0168308317661285,0.6254134178161621,wt2_gpt2_purple_b4_layer11_seed1_layers.csv
6,0,6,24320,0.42581906914711,0.721568763256073,0.721568763256073,0.2182920501984615,0.2182917484452518,0.1625553880511085,0.0090293966021151,0.0187587146609646,0.0135357026010751,0.721568763256073,wt2_gpt2_purple_b4_layer6_seed0_layers.csv
6,1,6,24320,0.42581906914711,0.7230749130249023,0.723074734210968,0.2183042612797643,0.2183041317478511,0.1457878739230027,0.0087722442692884,0.0161024541620125,0.011643280275166,0.7230749130249023,wt2_gpt2_purple_b4_layer6_seed1_layers.csv
8,0,8,24320,0.4236830174922943,0.7184587717056274,0.7184587121009827,0.2277588419955762,0.2277588426116989,0.1327594197083469,0.0133895255314865,0.0390779728148494,0.0280759129673242,0.7184587717056274,wt2_gpt2_purple_b4_layer8_seed0_layers.csv
8,1,8,24320,0.4236830174922943,0.7215307950973511,0.7215307354927063,0.2273867372784803,0.2273869121676713,0.1319214187105602,0.0124955510384822,0.0375576061903395,0.0270989686250686,0.7215307950973511,wt2_gpt2_purple_b4_layer8_seed1_layers.csv
