chunk_idx,layer_idx,token_pos,G_TTR,best_learner,G_FULL_MODEL_PURPLE,G_PURPLE_LAYER,projection_gain,delta_norm,delta_WO_norm
0,6,0,6.67572021484375e-06,linear_attention,0.17706871032714844,0.17707252502441406,0.001384735107421875,10.936954498291016,33.083858489990234
0,6,1,0.16718482971191406,linear_global,-1.0984573364257812,-1.0984458923339844,0.05255460739135742,10.16378402709961,31.790481567382812
0,6,2,0.13480091094970703,knn_mean,-1.2907047271728516,-1.290715217590332,0.02541351318359375,9.720500946044922,28.52521514892578
0,6,3,1.33514404296875e-05,window_soft,0.5809144973754883,0.5809245109558105,0.04510354995727539,3.306652545928955,11.097326278686523
0,6,4,0.29848146438598633,linear_attention,0.00015306472778320312,0.00014734268188476562,0.19293975830078125,10.0087890625,31.2310791015625
0,6,5,0.7278709411621094,linear_global,1.1485075950622559,1.1485071182250977,-0.013165950775146484,8.673630714416504,25.594329833984375
0,6,6,0.6961283683776855,linear_attention,5.070146560668945,5.070145606994629,0.11284065246582031,18.399139404296875,61.318023681640625
0,6,7,0.2279510498046875,linear_attention,8.316145896911621,8.316150665283203,0.005390167236328125,17.50640296936035,66.47438049316406
0,6,8,1.1311321258544922,linear_global,11.050037384033203,11.050037384033203,0.13737010955810547,21.084583282470703,82.43618774414062
0,6,9,0.6476707458496094,linear_attention,16.404325485229492,16.404312133789062,0.12152099609375,23.70221519470215,88.5268325805664
0,6,10,0.35582005977630615,weighted_linear,1.6492356061935425,1.6492347717285156,-0.022977828979492188,13.902814865112305,46.151763916015625
0,6,11,2.838505744934082,weighted_linear,4.1996235847473145,4.199618339538574,0.3578529357910156,9.79555892944336,30.756080627441406
0,6,12,0.012494562193751335,weighted_linear,0.010958479717373848,0.010958479717373848,0.00046100281178951263,7.1587395668029785,24.788936614990234
0,6,13,0.0052698878571391106,local_linear_attention,-0.028376027941703796,-0.028375685214996338,-0.00031991302967071533,5.809537410736084,20.140060424804688
0,6,14,0.01715707778930664,sharp,0.8048815727233887,0.8048768043518066,0.10174417495727539,5.285836696624756,15.99648666381836
0,6,15,-5.7220458984375e-06,window_soft,0.3543872833251953,0.3543987274169922,-0.013630390167236328,9.752124786376953,34.87921905517578
0,6,16,0.3189988136291504,weighted_linear,0.17590945959091187,0.17590874433517456,0.012166321277618408,4.921113014221191,15.434950828552246
0,6,17,0.005761504173278809,sharp,0.18046343326568604,0.18046152591705322,-0.06318020820617676,8.101405143737793,28.36329460144043
0,6,18,0.5513482093811035,knn_mean,-0.19776010513305664,-0.19777965545654297,-0.06325292587280273,8.294736862182617,28.519527435302734
0,6,19,0.1336812973022461,window_soft,-1.622659683227539,-1.6226959228515625,0.013963699340820312,7.8142266273498535,24.882352828979492
0,6,20,0.19480323791503906,linear_attention,-0.1938915252685547,-0.19388961791992188,0.03265738487243652,9.461143493652344,27.568376541137695
0,6,21,0.4498605728149414,linear_attention,-0.06408834457397461,-0.06408834457397461,0.0027937889099121094,3.1872594356536865,10.368764877319336
0,6,22,0.8337796330451965,weighted_linear,0.33209848403930664,0.3320980668067932,-0.019843697547912598,3.050311803817749,10.210567474365234
0,6,23,0.2004075050354004,sharp,1.6445963382720947,1.644599199295044,0.044525861740112305,9.517380714416504,27.917055130004883
0,6,24,-0.035028040409088135,window_soft,0.07859310507774353,0.07859218120574951,0.0039275288581848145,3.5837674140930176,12.711525917053223
0,6,25,-0.0001380443572998047,sharp,0.0462685227394104,0.04626947641372681,0.001472175121307373,5.033382892608643,19.05425262451172
